Go	cond_01	cond_02	cond_03	StopSuccess	cond_05	cond_06	cond_07	cond_08	cond_09	cond_10	cond_11	cond_12	cond_13	cond_14	cond_15	cond_16	cond_17	cond_18	cond_19
-0.1139885	-0.065982	0.01479483	-0.008342587	-0.03550442	-0.0005159989	0.1702733	0.09981676	0.003640063	0.00509751	-0.2775439	-6.276377	-0.1997147	-0.007856406	-0.04275874	-0.006397266	-0.03536848	-0.000280666	0.0003242726	-0.0003064772
-0.2107652	-0.05647691	-0.001109493	-0.002848794	-0.0357177	-0.0005598844	0.3122348	0.05707685	0.004444102	-0.004392753	-0.3133209	-7.082512	-0.2322024	-0.07113624	-0.04331359	-0.01474122	0.008415854	-0.0003768155	0.0003106848	-0.000252955
-0.2239387	0.0457541	0.009088565	0.01994718	-0.0359745	-0.0005970429	0.2847531	-0.09222654	-0.005044143	-0.005767122	-0.2759434	-6.226162	-0.2215491	-0.06436566	-0.05492846	-0.003111019	-0.0287424	-0.0004759998	0.0002969854	-0.0001996458
-0.1161218	0.07509968	0.038776	0.0177856	-0.03626157	-0.0006198422	0.1280389	-0.1423789	-0.006961123	0.0003068115	-0.2344116	-5.295325	-0.2127505	-0.1325422	-0.05260586	-0.01250995	-0.009851269	-0.0005782332	0.0002832126	-0.0001465743
-0.07168115	0.05806513	0.04465036	0.003810836	-0.03656337	-0.0006347612	-0.0001408183	-0.0971416	-0.004295901	0.002443961	-0.2637326	-5.966163	-0.2138135	-0.089661	-0.08034488	-0.02693277	-0.01190788	-0.0006835176	0.0002694032	-9.376437e-05
0.001622648	0.07159883	0.04638816	-0.004740637	-0.03687964	-0.0006518653	-0.06670202	-0.04541545	-0.001946368	0.001787609	-0.2438999	-5.504531	-0.1707311	0.02128288	-0.0251471	-0.013385	0.02007942	0.0002081577	-0.0007444075	0.0009589117
0.07239846	0.0195023	0.03515955	-0.01691735	-0.03721498	-0.0006728637	-0.09159639	-0.013056	-0.0006007132	0.0009662568	-0.1979148	-4.479456	-0.1415024	-0.007707457	-0.006012341	-0.0418656	-0.0258896	-0.0009031831	0.0002418149	0.001011149
0.0408022	-0.01905441	0.01254414	-0.01603603	-0.03757255	-0.0004594528	-0.09350116	0.003760133	0.0001021838	0.0004321286	-0.04977482	-1.131881	-0.0541281	0.05536812	-0.02093931	-0.009371199	0.04417483	-1.750306e-05	-0.0007718973	6.305742e-05
0.03478022	-0.04340282	0.003078561	-0.01358009	-0.03748032	0.036784	-0.08476805	0.01025648	0.0003775289	8.2558e-05	1.180535	26.67353	1.104396	0.785518	0.03707209	-0.129902	-0.2837238	-0.00613475	0.001214487	0.000114613
-0.04545271	-0.07942176	-0.01462481	-0.009357793	0.03664882	0.09967767	-0.07365821	0.01044019	0.0003804803	-0.0001112688	1.295005	29.24755	1.17507	0.02773753	0.01902212	-0.02246049	-0.2645951	-0.006254861	0.001201159	-0.0008340459
-0.1227111	0.002262598	-0.01564546	0.001471883	0.1623732	0.05023368	-0.0645298	0.007876273	0.0002681631	-0.0001716768	0.2626249	5.926969	0.2168847	0.2850342	-0.01509614	-0.01204427	-0.02044077	-0.004377754	0.0001878474	-0.0007832396
-0.03880353	0.1040495	-0.01168946	-0.0006225218	0.1373512	-0.05575217	-0.0585249	0.005022392	0.0001506267	-0.0001550885	-0.1086097	-2.447331	-0.1441573	-0.04658529	-0.04927776	-0.02865497	-0.03926551	-0.004503338	0.0001748832	-0.0007328495
0.08667374	0.09265499	-0.01689899	-0.006128308	0.05115632	-0.07480658	-0.05508918	0.00293074	7.182942e-05	-0.000115858	-0.2636556	-5.94537	-0.2020337	-0.07413117	-0.05451716	-0.04628341	0.01692983	-0.00463167	0.0001621519	-0.0006828968
